Room,Start_date,End_date,Cost,Is_cancelled,Number_of_nights,Breakfast,Dinner
305,2020-05-31,2020-06-05,1525,False,5,True,True
203,2017-06-04,2017-06-06,298,True,2,False,False
208,2022-05-19,2022-05-24,725,False,5,False,False
304,2022-06-12,2022-06-26,4886,False,14,True,True
305,2017-09-07,2017-09-19,4008,False,12,True,True
302,2023-11-21,2023-12-05,4858,False,14,True,True
103,2019-04-23,2019-04-30,721,False,7,False,True
302,2017-06-30,2017-07-10,3260,False,10,True,False
205,2017-05-18,2017-05-26,1128,False,8,True,True
101,2016-04-15,2016-04-25,940,False,10,True,False
302,2021-12-19,2021-12-28,2844,False,9,True,True
105,2016-06-27,2016-07-11,1456,False,14,False,False
101,2022-05-14,2022-05-27,1300,False,13,False,False
204,2020-11-01,2020-11-13,1740,False,12,True,True
108,2015-04-18,2015-04-23,505,False,5,True,True
110,2024-05-10,2024-05-12,220,False,2,False,False
304,2020-06-28,2020-07-05,2436,False,7,False,False
208,2019-03-01,2019-03-08,987,False,7,True,True
301,2021-06-12,2021-06-21,2853,False,9,True,True
202,2021-09-16,2021-09-23,1029,True,7,True,True
109,2023-09-25,2023-10-06,990,False,11,True,True
303,2015-11-21,2015-12-04,4381,True,13,True,True
301,2020-06-30,2020-07-08,2688,False,8,True,True
304,2019-11-01,2019-11-02,304,True,1,True,True
109,2022-07-26,2022-07-28,204,False,2,True,False
101,2024-10-27,2024-11-06,910,False,10,False,False
207,2023-05-22,2023-06-01,1490,False,10,True,True
302,2019-04-10,2019-04-15,1590,False,5,False,False
107,2022-11-24,2022-11-30,588,False,6,True,True
105,2023-11-23,2023-11-30,763,False,7,True,True
104,2024-10-18,2024-10-20,192,False,2,True,True
209,2016-05-26,2016-05-29,435,False,3,False,False
303,2016-06-07,2016-06-21,4438,False,14,True,True
202,2017-07-14,2017-07-28,1974,False,14,True,True
201,2024-06-20,2024-06-25,730,False,5,True,True
301,2021-01-03,2021-01-08,1735,False,5,True,True
206,2021-06-27,2021-07-09,1716,True,12,True,True
104,2019-02-15,2019-02-16,92,False,1,True,True
101,2020-12-13,2020-12-14,105,False,1,False,True
208,2016-05-17,2016-05-26,1287,False,9,False,False
107,2020-12-06,2020-12-15,855,False,9,True,True
204,2020-10-18,2020-10-20,300,False,2,True,True
303,2022-05-24,2022-06-04,3476,False,11,True,True
103,2018-09-09,2018-09-23,1484,False,14,False,False
303,2017-10-12,2017-10-24,4020,False,12,True,True
110,2024-02-19,2024-02-29,1040,False,10,True,True
207,2020-06-01,2020-06-09,1184,False,8,True,True
107,2015-09-20,2015-09-24,428,False,4,False,False
301,2021-03-07,2021-03-10,924,False,3,False,False
202,2022-03-18,2022-03-23,715,False,5,True,True
210,2018-12-07,2018-12-16,1314,False,9,False,False
208,2021-02-12,2021-02-16,588,False,4,True,True
304,2015-05-29,2015-06-05,2345,False,7,True,False
210,2018-07-19,2018-07-27,1200,False,8,True,True
207,2021-06-01,2021-06-14,1859,False,13,False,True
205,2015-12-07,2015-12-21,2072,False,14,False,True
303,2018-05-27,2018-06-02,1836,False,6,False,False
210,2016-09-12,2016-09-13,144,False,1,True,True
301,2021-08-01,2021-08-07,1986,False,6,False,False
106,2022-06-01,2022-06-13,1176,False,12,False,False
105,2018-10-12,2018-10-23,1056,False,11,True,True
210,2019-12-14,2019-12-23,1350,False,9,True,True
101,2022-11-25,2022-11-30,535,False,5,True,True
207,2018-11-28,2018-12-10,1776,False,12,False,False
109,2018-11-16,2018-11-28,1224,True,12,True,True
105,2020-10-13,2020-10-20,714,False,7,False,True
305,2022-08-14,2022-08-24,3100,False,10,True,True
104,2020-07-02,2020-07-14,1200,False,12,True,True
107,2020-07-25,2020-08-04,1070,False,10,True,True
302,2018-04-28,2018-05-11,4147,False,13,True,True
106,2024-01-18,2024-01-31,1313,False,13,False,False
108,2016-05-04,2016-05-09,495,False,5,True,True
210,2023-12-26,2024-01-05,1410,False,10,False,True
207,2018-04-06,2018-04-07,146,False,1,False,False
109,2021-09-08,2021-09-16,728,False,8,True,True
207,2016-04-12,2016-04-21,1341,False,9,True,True
102,2015-06-08,2015-06-22,1428,False,14,True,True
110,2015-08-13,2015-08-20,735,False,7,False,False
202,2015-11-02,2015-11-06,592,False,4,False,True
207,2018-05-22,2018-05-23,142,False,1,False,True
204,2016-09-17,2016-10-01,2100,False,14,False,False
303,2016-11-14,2016-11-26,4140,False,12,True,True
106,2023-01-04,2023-01-07,330,False,3,False,False
204,2023-07-17,2023-07-25,1152,False,8,True,True
102,2023-05-20,2023-05-26,582,False,6,False,True
208,2021-12-27,2021-12-29,282,False,2,True,True
305,2020-05-08,2020-05-12,1392,False,4,True,True
101,2019-09-06,2019-09-09,321,False,3,True,True
105,2022-01-08,2022-01-21,1404,False,13,True,False
305,2018-07-01,2018-07-08,2268,False,7,True,True
103,2019-11-13,2019-11-19,576,False,6,True,True
202,2020-05-12,2020-05-22,1440,False,10,False,False
302,2017-10-25,2017-11-01,2142,False,7,False,False
207,2020-09-11,2020-09-14,420,False,3,False,False
301,2024-11-10,2024-11-24,4732,False,14,True,False
207,2019-11-29,2019-12-03,572,False,4,True,True
304,2019-06-30,2019-07-05,1690,False,5,True,True
202,2022-12-04,2022-12-17,1898,False,13,True,True
109,2019-05-15,2019-05-24,936,False,9,True,True
202,2020-11-03,2020-11-11,1192,False,8,False,False
104,2023-03-26,2023-04-02,721,False,7,True,True
103,2021-12-27,2021-12-28,93,False,1,False,False
103,2021-05-19,2021-05-30,1034,False,11,True,True
109,2018-06-03,2018-06-14,990,False,11,False,False
204,2016-02-09,2016-02-13,568,False,4,True,True
205,2016-08-12,2016-08-15,447,False,3,True,True
301,2021-12-22,2021-12-26,1292,False,4,False,False
305,2020-04-13,2020-04-23,3390,False,10,False,False
103,2019-12-01,2019-12-05,412,False,4,True,True
104,2015-04-25,2015-05-06,1166,False,11,True,True
202,2015-12-15,2015-12-19,600,False,4,True,True
210,2023-07-21,2023-07-26,730,False,5,True,True
204,2022-08-07,2022-08-15,1176,False,8,True,True
208,2022-06-25,2022-07-01,900,False,6,True,False
204,2024-04-07,2024-04-16,1332,False,9,True,False
301,2021-12-29,2022-01-02,1324,False,4,True,True
103,2023-08-23,2023-08-30,763,False,7,False,False
209,2016-09-04,2016-09-12,1152,False,8,False,False
106,2020-12-12,2020-12-25,1326,False,13,True,True
102,2023-11-09,2023-11-15,576,False,6,False,False
105,2021-09-14,2021-09-25,1122,False,11,True,True
305,2017-05-31,2017-06-14,4508,False,14,True,True
101,2021-11-24,2021-12-04,1100,False,10,True,True
210,2016-07-06,2016-07-10,576,True,4,False,False
206,2016-11-22,2016-11-30,1144,False,8,False,False
109,2021-11-10,2021-11-14,420,True,4,True,True
108,2019-08-24,2019-09-05,1128,False,12,True,True
104,2023-02-02,2023-02-06,416,False,4,False,False
202,2024-10-22,2024-10-23,150,False,1,False,False
104,2015-05-10,2015-05-13,327,False,3,True,True
107,2023-05-12,2023-05-21,810,False,9,True,True
207,2019-08-08,2019-08-16,1136,False,8,True,False
104,2019-12-11,2019-12-24,1222,False,13,True,True
109,2019-01-22,2019-02-03,1140,False,12,True,True
210,2021-08-21,2021-08-24,432,False,3,True,False
207,2023-12-29,2023-12-30,142,True,1,False,True
101,2023-10-14,2023-10-16,200,False,2,False,True
302,2021-08-31,2021-09-10,3130,False,10,False,False
104,2021-06-25,2021-07-05,1070,False,10,False,False
101,2022-09-23,2022-09-29,654,False,6,False,False
304,2016-11-20,2016-11-24,1372,False,4,True,True
103,2015-05-21,2015-06-02,1296,False,12,False,True
204,2023-12-22,2023-12-26,560,True,4,True,False
110,2015-05-10,2015-05-11,108,False,1,False,False
210,2024-07-27,2024-07-28,142,False,1,False,False
205,2023-06-11,2023-06-19,1160,False,8,True,True
209,2015-11-04,2015-11-16,1704,False,12,True,True
206,2021-04-21,2021-04-30,1260,False,9,False,False
102,2015-02-15,2015-02-28,1183,False,13,True,True
205,2022-02-25,2022-03-02,735,False,5,False,False
104,2017-07-30,2017-08-11,1080,False,12,True,True
303,2022-11-28,2022-12-12,4816,False,14,True,True
202,2020-06-12,2020-06-24,1764,False,12,True,True
109,2023-08-28,2023-09-10,1365,False,13,True,True
301,2022-06-09,2022-06-14,1600,False,5,True,False
302,2017-06-12,2017-06-16,1216,False,4,False,False
102,2021-05-02,2021-05-10,872,False,8,False,False
103,2017-09-01,2017-09-03,188,False,2,False,True
202,2017-10-10,2017-10-12,286,False,2,False,False
106,2016-07-21,2016-07-22,99,False,1,False,False
302,2016-06-20,2016-06-21,340,False,1,False,False
207,2023-01-22,2023-01-27,745,True,5,True,True
207,2018-08-03,2018-08-09,852,True,6,True,True
102,2024-12-14,2024-12-19,515,False,5,True,False
204,2019-06-23,2019-06-30,1036,False,7,True,True
201,2016-01-01,2016-01-13,1704,False,12,True,False
103,2023-03-24,2023-04-05,1140,True,12,False,False
302,2024-04-20,2024-04-30,3290,False,10,True,True
102,2024-05-14,2024-05-23,936,False,9,False,False
201,2022-08-14,2022-08-18,560,False,4,True,False
105,2015-08-26,2015-08-27,109,False,1,True,False
108,2019-06-29,2019-07-12,1170,False,13,True,False
305,2023-12-01,2023-12-12,3751,False,11,True,False
109,2023-11-16,2023-11-27,1177,False,11,True,True
301,2020-05-17,2020-05-25,2464,False,8,True,True
204,2017-06-18,2017-06-26,1152,False,8,True,False
303,2018-08-22,2018-08-30,2632,False,8,True,False
305,2015-05-28,2015-06-01,1356,False,4,False,False
107,2015-05-04,2015-05-16,1080,False,12,True,True
102,2020-09-27,2020-10-05,800,False,8,True,True
207,2019-12-07,2019-12-11,576,False,4,True,True
202,2024-07-24,2024-08-04,1595,False,11,True,True
106,2024-07-22,2024-07-25,297,False,3,False,True
103,2023-11-26,2023-12-08,1212,False,12,True,True
103,2015-12-16,2015-12-17,106,False,1,False,False
202,2019-03-28,2019-04-09,1752,False,12,True,True
210,2015-05-01,2015-05-05,560,False,4,True,True
209,2016-12-26,2017-01-02,1015,False,7,True,True
204,2018-01-01,2018-01-06,715,False,5,False,True
103,2020-06-17,2020-06-26,828,True,9,False,False
105,2021-08-01,2021-08-09,744,False,8,True,True
109,2024-06-05,2024-06-15,960,False,10,False,False
201,2024-04-12,2024-04-24,1716,False,12,True,True
101,2025-01-18,2025-01-31,1430,False,13,True,True
206,2018-02-28,2018-03-02,292,False,2,False,True
103,2018-12-03,2018-12-06,327,False,3,False,False
108,2024-09-11,2024-09-18,770,False,7,False,False
101,2023-08-28,2023-09-10,1430,False,13,True,True
105,2022-10-22,2022-10-29,707,False,7,True,False
301,2018-12-05,2018-12-06,341,False,1,False,False
201,2020-11-24,2020-11-30,894,False,6,True,False
208,2023-06-23,2023-07-03,1490,False,10,True,True
209,2022-06-08,2022-06-12,580,False,4,False,False
108,2024-04-21,2024-05-04,1248,False,13,True,True
204,2023-06-10,2023-06-22,1728,False,12,True,True
105,2019-09-07,2019-09-12,490,False,5,False,False
205,2023-01-10,2023-01-24,2030,False,14,True,True
303,2023-02-15,2023-02-23,2648,False,8,True,False
108,2020-06-24,2020-07-08,1400,False,14,True,True
101,2015-03-05,2015-03-10,485,False,5,True,True
106,2024-11-24,2024-12-03,828,False,9,True,True
108,2016-12-30,2017-01-06,700,False,7,False,False
110,2022-04-12,2022-04-19,686,False,7,True,True
304,2024-07-21,2024-08-04,4704,False,14,True,True
301,2019-09-22,2019-10-05,4355,False,13,True,True
201,2020-09-30,2020-10-13,1833,False,13,True,True
109,2022-11-03,2022-11-06,270,False,3,False,True
202,2015-03-20,2015-03-31,1606,False,11,True,True
101,2020-12-26,2021-01-08,1404,False,13,True,False
102,2022-12-14,2022-12-21,637,False,7,True,True
203,2022-11-09,2022-11-17,1144,False,8,False,False
210,2015-07-21,2015-07-29,1176,False,8,False,True
103,2023-12-18,2023-12-26,856,False,8,True,True
207,2017-11-03,2017-11-08,745,False,5,False,False
305,2021-07-06,2021-07-12,2052,False,6,True,True
203,2019-01-11,2019-01-20,1296,False,9,True,False
108,2020-11-30,2020-12-10,1020,True,10,True,True
303,2022-09-13,2022-09-20,2289,False,7,True,False
107,2020-05-16,2020-05-26,1070,False,10,True,True
303,2015-05-13,2015-05-21,2536,False,8,False,False
202,2021-05-23,2021-06-05,1950,True,13,True,False
303,2023-07-10,2023-07-11,316,False,1,False,True
110,2023-07-19,2023-07-30,1155,False,11,True,True
104,2024-07-15,2024-07-27,1116,False,12,True,True
201,2017-12-06,2017-12-15,1314,False,9,True,True
208,2015-07-09,2015-07-10,146,False,1,False,True
301,2019-12-01,2019-12-08,2317,False,7,False,False
104,2022-03-19,2022-03-25,594,False,6,False,False
101,2020-01-06,2020-01-15,909,False,9,True,True
104,2018-06-23,2018-06-25,182,False,2,False,False
210,2017-05-31,2017-06-06,864,False,6,True,False
109,2022-12-11,2022-12-12,97,False,1,False,False
203,2015-08-27,2015-09-03,980,False,7,True,True
302,2017-11-02,2017-11-12,3340,False,10,True,True
103,2024-07-27,2024-08-05,846,False,9,False,True
101,2018-02-12,2018-02-24,1080,False,12,True,True
105,2021-06-26,2021-07-01,460,False,5,False,False
210,2020-05-13,2020-05-21,1128,False,8,True,False
106,2017-12-22,2017-12-29,756,False,7,True,False
303,2021-01-03,2021-01-05,666,False,2,False,False
206,2018-07-07,2018-07-09,296,False,2,False,False
207,2017-03-04,2017-03-13,1341,False,9,True,True
302,2018-01-24,2018-02-04,3806,False,11,True,False
104,2020-01-29,2020-02-10,1308,False,12,True,True
209,2019-05-03,2019-05-07,600,False,4,True,True
202,2016-10-25,2016-11-05,1584,False,11,True,False
106,2020-09-30,2020-10-12,1104,False,12,True,False
206,2021-12-03,2021-12-11,1144,False,8,True,True
101,2024-08-08,2024-08-10,220,False,2,False,False
110,2020-08-05,2020-08-09,432,False,4,True,False
305,2016-12-11,2016-12-25,4438,False,14,True,True
205,2015-02-12,2015-02-24,1704,False,12,True,True
101,2022-11-02,2022-11-08,552,False,6,False,False
108,2023-05-12,2023-05-17,520,False,5,True,False
106,2017-11-17,2017-11-23,600,False,6,True,True
207,2020-07-29,2020-08-07,1314,False,9,True,True
206,2019-07-03,2019-07-05,294,False,2,False,False
303,2021-12-27,2022-01-04,2600,False,8,False,False
108,2016-06-10,2016-06-16,552,False,6,True,False
107,2016-10-27,2016-11-05,936,False,9,True,True
105,2020-05-09,2020-05-14,500,False,5,False,False
301,2017-06-14,2017-06-15,331,False,1,False,False
303,2020-03-15,2020-03-23,2696,False,8,True,True
207,2023-07-27,2023-08-08,1752,False,12,False,True
210,2022-11-27,2022-12-02,705,False,5,False,False
110,2018-06-09,2018-06-20,1210,False,11,True,True
304,2020-10-24,2020-11-06,3939,False,13,True,True
210,2021-04-26,2021-05-02,864,False,6,False,False
202,2021-07-23,2021-08-02,1410,True,10,True,True
207,2021-06-21,2021-06-30,1287,False,9,False,False
104,2016-07-20,2016-07-22,186,False,2,False,False
305,2019-11-28,2019-12-01,1020,False,3,False,False
109,2016-07-11,2016-07-25,1344,False,14,True,False
108,2015-12-22,2015-12-25,321,False,3,False,False
108,2020-08-24,2020-08-31,763,False,7,False,False
108,2020-06-17,2020-06-19,192,False,2,True,True
207,2015-05-12,2015-05-21,1323,False,9,True,True
203,2021-04-09,2021-04-19,1450,False,10,False,False
303,2023-03-30,2023-04-12,4433,False,13,True,False
105,2017-11-02,2017-11-12,1000,False,10,False,False
204,2022-03-21,2022-04-03,1872,False,13,True,True
204,2016-12-23,2016-12-24,149,True,1,False,False
202,2022-01-04,2022-01-10,846,False,6,False,False
110,2021-07-29,2021-08-09,1155,False,11,True,True
206,2016-06-01,2016-06-11,1480,False,10,True,True
304,2023-05-20,2023-05-30,3220,False,10,True,True
206,2015-12-10,2015-12-23,1872,False,13,True,False
102,2024-11-17,2024-11-22,530,False,5,True,True
202,2024-12-10,2024-12-24,2002,False,14,True,True
202,2019-08-12,2019-08-18,888,False,6,False,False
101,2019-07-03,2019-07-04,104,False,1,False,False
109,2015-03-06,2015-03-07,101,False,1,True,True
208,2016-12-02,2016-12-14,1740,False,12,True,False
203,2016-06-07,2016-06-11,576,False,4,False,True
305,2015-10-11,2015-10-25,4816,False,14,True,True
301,2020-07-31,2020-08-05,1510,False,5,False,False
210,2024-05-07,2024-05-16,1260,False,9,False,False
204,2023-10-22,2023-10-31,1323,False,9,True,True
201,2022-06-23,2022-06-29,888,False,6,False,False
101,2017-05-07,2017-05-15,880,False,8,True,True
108,2015-05-22,2015-06-02,1111,False,11,True,True
102,2017-06-11,2017-06-21,990,False,10,True,True
102,2023-12-14,2023-12-19,470,False,5,True,True
207,2020-11-01,2020-11-07,876,False,6,True,True
106,2024-05-01,2024-05-02,93,False,1,False,False
210,2019-07-19,2019-07-29,1400,False,10,True,True
110,2021-01-25,2021-02-07,1365,False,13,True,True
209,2021-10-22,2021-11-05,2030,False,14,False,False
107,2017-03-27,2017-03-28,94,False,1,False,False
108,2016-07-04,2016-07-16,1140,False,12,False,False
209,2020-05-12,2020-05-21,1269,False,9,True,True
108,2019-12-17,2019-12-22,540,False,5,False,True
110,2017-05-22,2017-05-31,954,False,9,True,False
204,2023-05-08,2023-05-21,1937,False,13,True,True
207,2019-05-31,2019-06-14,1974,False,14,True,True
110,2016-09-24,2016-10-01,763,False,7,False,False
101,2024-05-17,2024-05-27,940,False,10,False,True
105,2024-11-12,2024-11-21,963,False,9,True,True
102,2020-08-12,2020-08-14,194,False,2,False,False
204,2018-03-11,2018-03-13,296,False,2,False,False
207,2017-07-06,2017-07-09,438,False,3,False,False
205,2018-07-31,2018-08-04,592,False,4,False,True
301,2019-09-04,2019-09-14,3470,False,10,False,False
201,2024-06-07,2024-06-08,142,False,1,True,True
303,2017-07-27,2017-08-08,3732,False,12,False,True
202,2019-12-20,2019-12-26,876,False,6,True,True
101,2018-03-12,2018-03-18,576,False,6,False,False
105,2018-06-04,2018-06-07,321,True,3,True,False
208,2023-11-08,2023-11-11,423,False,3,False,False
108,2016-05-15,2016-05-21,648,False,6,False,False
202,2016-12-04,2016-12-12,1184,False,8,True,False
209,2018-07-01,2018-07-14,1937,False,13,True,True
109,2020-01-05,2020-01-15,1030,False,10,True,True
206,2018-06-23,2018-07-06,1911,False,13,True,True
202,2020-12-28,2020-12-30,282,False,2,False,True
109,2022-04-23,2022-04-24,99,False,1,False,False
203,2015-05-16,2015-05-23,994,False,7,False,True
301,2020-12-07,2020-12-17,3490,False,10,True,True
202,2017-09-19,2017-09-22,423,False,3,False,False
108,2018-03-21,2018-03-22,97,True,1,False,False
202,2017-11-29,2017-12-09,1500,False,10,True,True
103,2018-02-23,2018-02-25,206,False,2,False,True
204,2015-04-30,2015-05-08,1120,False,8,True,True
204,2022-05-15,2022-05-19,560,False,4,True,False
106,2020-09-15,2020-09-16,93,True,1,False,False
206,2019-05-09,2019-05-15,846,False,6,True,True
204,2019-06-17,2019-06-22,725,False,5,False,True
106,2016-11-21,2016-11-27,576,False,6,True,True
303,2024-03-09,2024-03-14,1515,False,5,True,True
305,2024-07-13,2024-07-18,1745,False,5,False,True
102,2016-05-02,2016-05-10,792,False,8,True,True
305,2018-12-09,2018-12-22,3952,False,13,True,True
202,2015-11-20,2015-11-30,1480,False,10,False,False
302,2020-03-04,2020-03-06,700,False,2,True,True
304,2018-12-19,2018-12-21,694,False,2,False,True
104,2018-08-12,2018-08-18,552,False,6,True,True
104,2017-12-18,2017-12-24,636,False,6,False,False
106,2020-02-02,2020-02-11,855,False,9,True,True
208,2016-05-12,2016-05-15,438,False,3,False,False
103,2022-12-11,2022-12-21,920,False,10,True,True
205,2016-12-22,2017-01-01,1460,False,10,True,True
204,2017-08-19,2017-08-30,1551,False,11,True,True
301,2023-05-22,2023-05-31,3033,False,9,False,False
302,2023-02-28,2023-03-13,4017,False,13,True,True
206,2021-07-29,2021-08-10,1740,False,12,True,True
102,2024-11-11,2024-11-16,545,False,5,False,True
108,2019-06-06,2019-06-11,515,False,5,False,False
210,2017-07-21,2017-07-29,1176,False,8,True,True
203,2021-02-02,2021-02-05,438,False,3,False,False
106,2020-05-10,2020-05-11,102,False,1,True,False
305,2024-12-31,2025-01-10,3180,False,10,True,True
207,2016-07-01,2016-07-12,1628,False,11,False,False
101,2023-12-10,2023-12-16,546,True,6,False,True
101,2022-04-14,2022-04-24,1060,False,10,False,False
301,2020-06-05,2020-06-10,1610,False,5,False,True
301,2018-11-21,2018-11-27,1980,False,6,True,True
107,2023-01-07,2023-01-10,285,False,3,False,True
208,2018-05-05,2018-05-13,1168,False,8,True,True
204,2017-10-09,2017-10-11,290,False,2,False,False
106,2022-05-21,2022-05-23,184,False,2,True,True
106,2019-11-09,2019-11-15,630,False,6,True,False
210,2022-06-21,2022-07-01,1470,False,10,False,True
203,2023-07-09,2023-07-12,429,False,3,False,False
102,2019-12-06,2019-12-20,1526,False,14,True,True
203,2021-05-29,2021-06-02,572,False,4,False,False
108,2020-05-14,2020-05-21,707,False,7,True,True
305,2024-07-31,2024-08-02,608,False,2,False,False
302,2017-03-31,2017-04-10,3490,True,10,True,False
103,2018-06-13,2018-06-22,819,False,9,True,True
102,2020-11-23,2020-11-30,714,False,7,True,True
301,2018-07-31,2018-08-02,626,False,2,False,False
106,2022-04-23,2022-05-03,900,False,10,True,True
206,2017-11-21,2017-11-23,286,False,2,False,False
203,2017-07-05,2017-07-14,1341,False,9,True,True
105,2021-03-06,2021-03-08,202,False,2,False,False
105,2017-05-13,2017-05-18,500,False,5,True,True
205,2024-12-09,2024-12-16,980,False,7,False,False
204,2022-01-27,2022-02-03,1022,False,7,True,False
301,2020-11-17,2020-11-25,2720,False,8,False,True
110,2018-08-16,2018-08-22,570,False,6,False,False
205,2021-06-19,2021-07-02,1950,True,13,True,True
206,2021-12-21,2021-12-22,144,False,1,False,False
304,2024-11-04,2024-11-18,4340,False,14,True,True
205,2018-08-05,2018-08-18,1898,False,13,True,True
201,2021-12-14,2021-12-28,2100,False,14,False,False
103,2022-11-19,2022-11-22,279,False,3,False,False
301,2022-06-20,2022-07-03,4225,False,13,True,False
208,2016-06-21,2016-06-23,294,False,2,False,False
108,2018-09-21,2018-09-30,918,False,9,True,False
107,2016-04-25,2016-05-04,855,False,9,False,False
104,2023-11-02,2023-11-12,940,False,10,True,True
201,2016-11-29,2016-12-08,1278,False,9,True,True
103,2015-11-30,2015-12-04,368,False,4,False,False
107,2018-05-18,2018-05-27,972,False,9,True,True
102,2019-11-14,2019-11-25,1155,False,11,True,True
207,2024-11-15,2024-11-19,568,False,4,True,True
103,2015-05-09,2015-05-15,618,True,6,False,False
204,2015-12-06,2015-12-14,1120,False,8,True,True
105,2021-05-27,2021-06-02,570,False,6,True,True
301,2017-05-07,2017-05-19,3672,False,12,True,True
202,2024-02-17,2024-02-22,720,False,5,True,True
206,2019-06-14,2019-06-21,1001,False,7,True,True
205,2021-10-29,2021-11-12,2002,True,14,True,True
303,2019-06-28,2019-07-05,2184,False,7,False,True
101,2021-01-08,2021-01-13,490,False,5,False,False
206,2016-07-19,2016-08-02,2002,True,14,True,True
207,2019-10-05,2019-10-13,1128,False,8,True,False
208,2018-06-20,2018-06-29,1341,False,9,True,True
209,2019-06-12,2019-06-13,148,False,1,True,True
103,2024-07-03,2024-07-07,440,False,4,True,True
102,2023-04-26,2023-05-06,1070,False,10,False,False
105,2024-12-12,2024-12-13,98,False,1,False,False
201,2017-11-22,2017-12-03,1573,False,11,True,True
305,2016-03-16,2016-03-25,2898,False,9,True,True
202,2015-08-10,2015-08-16,846,False,6,True,True
203,2016-04-16,2016-04-21,745,False,5,False,False
204,2020-12-03,2020-12-17,2016,False,14,True,True
304,2024-05-13,2024-05-19,1836,False,6,False,False
206,2022-12-12,2022-12-15,438,False,3,False,True
208,2015-08-02,2015-08-04,296,False,2,False,False
101,2022-10-18,2022-10-19,98,False,1,False,False
204,2017-12-09,2017-12-11,288,False,2,False,False
103,2024-12-01,2024-12-04,324,False,3,False,True
102,2018-06-23,2018-07-07,1386,False,14,True,False
304,2018-12-26,2019-01-04,2790,False,9,True,False
109,2021-11-17,2021-11-19,206,True,2,False,False
202,2019-08-30,2019-09-01,290,False,2,False,False
202,2023-07-22,2023-07-23,141,False,1,False,False
105,2019-06-21,2019-06-30,954,False,9,True,True
201,2022-06-10,2022-06-22,1740,False,12,True,True
101,2023-01-13,2023-01-25,1260,False,12,True,True
103,2019-09-24,2019-09-25,101,False,1,False,True
103,2018-11-16,2018-11-18,218,False,2,False,False
101,2020-06-09,2020-06-10,94,False,1,False,False
301,2019-07-28,2019-08-01,1392,False,4,True,False
204,2018-04-16,2018-04-23,1036,False,7,False,False
104,2019-07-28,2019-08-07,980,False,10,False,False
303,2022-01-20,2022-01-31,3520,False,11,True,True
207,2022-05-13,2022-05-14,146,False,1,False,False
101,2017-09-04,2017-09-16,1080,False,12,True,True
207,2022-11-18,2022-11-24,888,False,6,True,True
301,2024-12-02,2024-12-12,3060,False,10,True,True
201,2018-12-03,2018-12-10,1043,False,7,True,True
203,2018-03-20,2018-03-28,1136,False,8,True,True
104,2023-07-24,2023-08-01,720,False,8,True,True
203,2018-07-05,2018-07-13,1184,False,8,False,False
304,2016-06-07,2016-06-18,3762,False,11,False,False
202,2024-12-01,2024-12-05,572,False,4,False,False
210,2017-04-23,2017-04-26,429,False,3,False,False
108,2016-06-03,2016-06-05,204,False,2,False,True
109,2015-05-27,2015-06-02,660,False,6,True,True
103,2016-03-23,2016-03-29,582,False,6,False,False
110,2023-12-22,2023-12-29,679,False,7,True,True
202,2023-08-01,2023-08-08,1050,True,7,True,False
